1) query : portabl oper system 

1 Q0 CACM-3127 1 14.490583884987338 BM25
1 Q0 CACM-2246 2 10.494936667464541 BM25
1 Q0 CACM-1930 3 8.68345514447564 BM25
1 Q0 CACM-3196 4 8.480510398604338 BM25
1 Q0 CACM-3068 5 5.543308239636642 BM25
1 Q0 CACM-2593 6 5.501420826174014 BM25
1 Q0 CACM-2319 7 5.410758377922018 BM25
1 Q0 CACM-2740 8 5.34317875297323 BM25
1 Q0 CACM-2379 9 5.216965242484537 BM25
1 Q0 CACM-1591 10 5.172193021081046 BM25
1 Q0 CACM-1680 11 5.162053240028818 BM25
1 Q0 CACM-1462 12 5.103798460247451 BM25
1 Q0 CACM-2632 13 5.011728841850023 BM25
1 Q0 CACM-2629 14 4.998700323896168 BM25
1 Q0 CACM-2597 15 4.905635610639113 BM25
1 Q0 CACM-1236 16 4.853922942619715 BM25
1 Q0 CACM-1461 17 4.833385818130511 BM25
1 Q0 CACM-2424 18 4.828181007778031 BM25
1 Q0 CACM-2482 19 4.787143390125421 BM25
1 Q0 CACM-1033 20 4.7836793551308325 BM25
1 Q0 CACM-2735 21 4.672024864205305 BM25
1 Q0 CACM-1750 22 4.628124424933294 BM25
1 Q0 CACM-2796 23 4.61563499791673 BM25
1 Q0 CACM-2868 24 4.598888818130785 BM25
1 Q0 CACM-2357 25 4.562724918430032 BM25
1 Q0 CACM-1755 26 4.54734687654435 BM25
1 Q0 CACM-1472 27 4.541588459024279 BM25
1 Q0 CACM-2541 28 4.5382800659018026 BM25
1 Q0 CACM-2317 29 4.535439785236573 BM25
1 Q0 CACM-2920 30 4.518222719212361 BM25
1 Q0 CACM-1534 31 4.498499813964413 BM25
1 Q0 CACM-1334 32 4.491193545273824 BM25
1 Q0 CACM-1247 33 4.456921731447984 BM25
1 Q0 CACM-2111 34 4.455311257572648 BM25
1 Q0 CACM-2080 35 4.444127585803013 BM25
1 Q0 CACM-2867 36 4.429503196539876 BM25
1 Q0 CACM-1728 37 4.4108072290511355 BM25
1 Q0 CACM-2840 38 4.408290734762348 BM25
1 Q0 CACM-2378 39 4.376554573842477 BM25
1 Q0 CACM-1519 40 4.358086760848867 BM25
1 Q0 CACM-2064 41 4.357325570436164 BM25
1 Q0 CACM-3025 42 4.337629795398625 BM25
1 Q0 CACM-2153 43 4.299491398101326 BM25
1 Q0 CACM-2798 44 4.283216048871195 BM25
1 Q0 CACM-0972 45 4.228917528949719 BM25
1 Q0 CACM-0585 46 4.2210133458342565 BM25
1 Q0 CACM-2372 47 4.213038992930434 BM25
1 Q0 CACM-2320 48 4.192548854861167 BM25
1 Q0 CACM-0322 49 4.188585808026152 BM25
1 Q0 CACM-1752 50 4.182905537443574 BM25
1 Q0 CACM-1168 51 4.170773900754048 BM25
1 Q0 CACM-1657 52 4.169176368586802 BM25
1 Q0 CACM-2092 53 4.137624107494121 BM25
1 Q0 CACM-1766 54 4.137069790275395 BM25
1 Q0 CACM-1324 55 4.1353198648516765 BM25
1 Q0 CACM-2126 56 4.128423114578824 BM25
1 Q0 CACM-1912 57 4.098620214101451 BM25
