1) query : portabl oper system 

1 Q0 CACM-3127 1 -4.234061911935317 SQLM
1 Q0 CACM-2246 2 -4.657042263968993 SQLM
1 Q0 CACM-1930 3 -4.820295448705348 SQLM
1 Q0 CACM-3196 4 -4.850480351559105 SQLM
1 Q0 CACM-2593 5 -5.2740949566125215 SQLM
1 Q0 CACM-1461 6 -5.63471911326496 SQLM
1 Q0 CACM-3068 7 -5.749589535151975 SQLM
1 Q0 CACM-2796 8 -5.777501822610653 SQLM
1 Q0 CACM-1755 9 -5.813025850417882 SQLM
1 Q0 CACM-2319 10 -5.817677576856023 SQLM
1 Q0 CACM-2740 11 -5.840437317056647 SQLM
1 Q0 CACM-0379 12 -5.841048389917912 SQLM
1 Q0 CACM-2379 13 -5.84815280323901 SQLM
1 Q0 CACM-2735 14 -5.856310682644946 SQLM
1 Q0 CACM-1334 15 -5.885686953320574 SQLM
1 Q0 CACM-1462 16 -5.887387633638614 SQLM
1 Q0 CACM-1591 17 -5.888678828684829 SQLM
1 Q0 CACM-2629 18 -5.88989182308147 SQLM
1 Q0 CACM-1680 19 -5.89396507560703 SQLM
1 Q0 CACM-2599 20 -5.895930773625402 SQLM
1 Q0 CACM-0017 21 -5.9116052547595395 SQLM
1 Q0 CACM-2632 22 -5.91992997493081 SQLM
1 Q0 CACM-2597 23 -5.9234232379929885 SQLM
1 Q0 CACM-0437 24 -5.926212887425944 SQLM
1 Q0 CACM-2482 25 -5.943659913699718 SQLM
1 Q0 CACM-1045 26 -5.948487180164653 SQLM
1 Q0 CACM-2555 27 -5.948487180164653 SQLM
1 Q0 CACM-1236 28 -5.954794090930709 SQLM
1 Q0 CACM-1033 29 -5.955125471981519 SQLM
1 Q0 CACM-1683 30 -5.9617478072888 SQLM
1 Q0 CACM-0215 31 -5.964684923607445 SQLM
1 Q0 CACM-0103 32 -5.967003025227049 SQLM
1 Q0 CACM-1472 33 -5.967860143332038 SQLM
1 Q0 CACM-2424 34 -5.970541974334324 SQLM
1 Q0 CACM-1069 35 -5.986687667164997 SQLM
1 Q0 CACM-1750 36 -5.992574298427556 SQLM
1 Q0 CACM-1657 37 -5.994259221154234 SQLM
